149; 	 482.2542; 	    101; 	  0.2; 	20.00; 	"";
150; 	  39.0259; 	    347; 	  1.6; 	40.00; 	"";
151; 	  39.0930; 	    359; 	  1.6; 	40.00; 	"";
152; 	  40.3671; 	    268; 	  1.2; 	40.00; 	"";
153; 	  43.0195; 	    100; 	  0.5; 	40.00; 	"";
154; 	  51.0255; 	    330; 	  1.5; 	40.00; 	"";
155; 	  51.1010; 	    521; 	  2.4; 	40.00; 	"";
156; 	  52.0214; 	    311; 	  1.4; 	40.00; 	"";
157; 	  63.0250; 	    265; 	  1.2; 	40.00; 	"";
158; 	  63.7461; 	    107; 	  0.5; 	40.00; 	"";
159; 	  64.0344; 	    933; 	  4.3; 	40.00; 	"";
160; 	  64.1132; 	    373; 	  1.7; 	40.00; 	"";
161; 	  65.0381; 	    122; 	  0.6; 	40.00; 	"";
162; 	  65.1244; 	    120; 	  0.5; 	40.00; 	"";
163; 	  74.0176; 	    192; 	  0.9; 	40.00; 	"";
164; 	  74.1001; 	    255; 	  1.2; 	40.00; 	"";
165; 	  75.0257; 	  12328; 	 56.3; 	40.00; 	"56.30";
166; 	  75.1125; 	   3867; 	 17.7; 	40.00; 	"17.70";
167; 	  76.0296; 	   1361; 	  6.2; 	40.00; 	"";
168; 	  76.1147; 	    448; 	  2.0; 	40.00; 	"";
169; 	  92.0277; 	   8392; 	 38.3; 	40.00; 	"38.30";
170; 	  92.1199; 	   6034; 	 27.6; 	40.00; 	"27.60";
171; 	  93.0294; 	    390; 	  1.8; 	40.00; 	"";
172; 	 122.1234; 	  21898; 	100.0; 	40.00; 	"100.00";
173; 	 123.1265; 	   1629; 	  7.4; 	40.00; 	"";
174; 	 147.4640; 	    258; 	  1.2; 	40.00; 	"";
175; 	 180.9154; 	    144; 	  0.7; 	40.00; 	"";
176; 	 214.0791; 	    105; 	  0.5; 	40.00; 	"";
177; 	 281.0849; 	    107; 	  0.5; 	40.00; 	"";
178; 	 692.6482; 	    215; 	  1.0; 	40.00; 	"";
