153; 	  39.0227; 	   2821; 	  0.5; 	 1.00; 	"";
154; 	  44.9962; 	    115; 	  0.0; 	 1.00; 	"";
155; 	  50.8980; 	    138; 	  0.0; 	 1.00; 	"";
156; 	  51.0238; 	   2494; 	  0.5; 	 1.00; 	"";
157; 	  52.0196; 	    922; 	  0.2; 	 1.00; 	"";
158; 	  53.0031; 	    144; 	  0.0; 	 1.00; 	"";
159; 	  53.9944; 	    453; 	  0.1; 	 1.00; 	"";
160; 	  63.0243; 	    827; 	  0.2; 	 1.00; 	"";
161; 	  64.0324; 	   4682; 	  0.9; 	 1.00; 	"";
162; 	  65.0399; 	    809; 	  0.2; 	 1.00; 	"";
163; 	  66.0363; 	    240; 	  0.0; 	 1.00; 	"";
164; 	  67.0197; 	    346; 	  0.1; 	 1.00; 	"";
165; 	  74.0705; 	   1068; 	  0.2; 	 1.00; 	"";
166; 	  75.0236; 	  37553; 	  7.0; 	 1.00; 	"";
167; 	  75.0993; 	   1013; 	  0.2; 	 1.00; 	"";
168; 	  76.0270; 	   2789; 	  0.5; 	 1.00; 	"";
169; 	  76.1139; 	    107; 	  0.0; 	 1.00; 	"";
170; 	  77.0274; 	    918; 	  0.2; 	 1.00; 	"";
171; 	  77.9688; 	    147; 	  0.0; 	 1.00; 	"";
172; 	  78.2986; 	    122; 	  0.0; 	 1.00; 	"";
173; 	  90.2697; 	    266; 	  0.0; 	 1.00; 	"";
174; 	  92.0252; 	  38737; 	  7.2; 	 1.00; 	"";
175; 	  92.1206; 	    744; 	  0.1; 	 1.00; 	"";
176; 	  93.0336; 	   4584; 	  0.9; 	 1.00; 	"";
177; 	  94.0414; 	    745; 	  0.1; 	 1.00; 	"";
178; 	 104.3613; 	    261; 	  0.0; 	 1.00; 	"";
179; 	 121.0279; 	   6635; 	  1.2; 	 1.00; 	"";
180; 	 122.0237; 	 537573; 	100.0; 	 1.00; 	"100.00";
181; 	 122.1524; 	    383; 	  0.1; 	 1.00; 	"";
182; 	 123.0276; 	  44283; 	  8.2; 	 1.00; 	"";
183; 	 124.0262; 	   2881; 	  0.5; 	 1.00; 	"";
184; 	 140.0378; 	   1724; 	  0.3; 	 1.00; 	"";
185; 	 141.0418; 	    100; 	  0.0; 	 1.00; 	"";
186; 	 144.1970; 	    393; 	  0.1; 	 1.00; 	"";
187; 	 149.0208; 	   1767; 	  0.3; 	 1.00; 	"";
188; 	 150.0281; 	  79135; 	 14.7; 	 1.00; 	"14.70";
189; 	 151.0298; 	   6000; 	  1.1; 	 1.00; 	"";
190; 	 152.0608; 	    793; 	  0.1; 	 1.00; 	"";
191; 	 153.0683; 	    119; 	  0.0; 	 1.00; 	"";
192; 	 154.0657; 	    217; 	  0.0; 	 1.00; 	"";
193; 	 155.0402; 	    163; 	  0.0; 	 1.00; 	"";
194; 	 155.9755; 	    210; 	  0.0; 	 1.00; 	"";
195; 	 157.0280; 	    238; 	  0.0; 	 1.00; 	"";
196; 	 159.1152; 	    189; 	  0.0; 	 1.00; 	"";
197; 	 199.7537; 	    105; 	  0.0; 	 1.00; 	"";
198; 	 210.3250; 	    257; 	  0.0; 	 1.00; 	"";
199; 	 297.1785; 	    138; 	  0.0; 	 1.00; 	"";
200; 	 310.0167; 	    268; 	  0.0; 	 1.00; 	"";
201; 	 337.1494; 	    114; 	  0.0; 	 1.00; 	"";
202; 	 357.9264; 	    261; 	  0.0; 	 1.00; 	"";
203; 	 395.9362; 	    104; 	  0.0; 	 1.00; 	"";
204; 	 405.5863; 	    258; 	  0.0; 	 1.00; 	"";
205; 	 454.4306; 	    274; 	  0.1; 	 1.00; 	"";
206; 	  23.7699; 	    173; 	  0.3; 	10.00; 	"";
207; 	  39.0241; 	   2261; 	  3.4; 	10.00; 	"";
208; 	  51.0243; 	   1648; 	  2.5; 	10.00; 	"";
209; 	  52.0187; 	    399; 	  0.6; 	10.00; 	"";
210; 	  55.0551; 	    230; 	  0.3; 	10.00; 	"";
211; 	  56.0043; 	    161; 	  0.2; 	10.00; 	"";
